fid,SAMNumber,Name,Period,SiteType,Report,lon,lat
"5075",BR349     ,Blaen Clydach Fach platform cairn                                                                                                                     ,Prehistoric,Platform Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4273,"-3.66091256735668","51.973463689712"
"5076",BR347,Cwm Henwen round barrow,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4274,"-3.70260239518236","51.9506899637155"
"5077",BR348     ,Blaen Clydach Fach round cairn                                                                                                                        ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4275,"-3.66030812800396","51.9720976931357"
"5078",GM593     ,Coed Ddu house platforms and enclosure                                                                                                                ,Medieval,House Platform,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4276,"-3.73023141872973","51.7431382773359"
"5079",MM344     ,Twyn Bryn March round cairn                                                                                                                           ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4329,"-3.25246406476214","51.8027461678905"
"5080",GM592     ,Coed Ddu ring cairn                                                                                                                                   ,Prehistoric,Ring Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4277,"-3.728896722708","51.7424920319061"
"5081",RD263,Cwm Sidywal settlements,Medieval,Settlement,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4278,"-3.51114475795733","52.3486017586282"
"5082",DE296     ,Pen-plaenau Roman marching camp                                                                                                                       ,Roman,Marching Camp,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4279,"-3.32349080642847","52.9167121580831"
"5083",MG329,Round Barrow on Saddle to E of Corndon Hill,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4280,"-3.03423433604805","52.5643650753427"
"5084",DE297     ,"Cadair Berwyn, round cairn on N ridge of                                                                                                              ",Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4281,"-3.369702465275","52.892335970578"
"5085",BR354     ,Carreg Wen Fawr y Rugos cairn cemetery                                                                                                                ,Prehistoric,Cairn Cemetery,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4282,"-3.26127254211025","51.8491984240138"
"5086",BR355     ,Carn Caws round cairn                                                                                                                                 ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4283,"-3.26471812653834","51.8427901029062"
"5087",BR360     ,Mynydd Pen-cyrn round cairn                                                                                                                           ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4284,"-3.16669859450026","51.8235982198682"
"5088",BR358     ,Waun Cyrn round cairn                                                                                                                                 ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4285,"-3.14745706358352","51.8237606568645"
"5089",BR392     ,Y Gyrn hut platforms                                                                                                                                  ,Post Medieval/Modern,House Platform,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4330,"-3.4787838682822","51.8931552391397"
"5090",BR391     ,Y Gyrn longhuts                                                                                                                                       ,Post Medieval/Modern,Deserted Rural Settlement,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4331,"-3.47883638379945","51.8934833181947"
"5091",BR390     ,Y Gyrn hut platform (N)                                                                                                                               ,Post Medieval/Modern,House Platform,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4332,"-3.4786047960157","51.8945347688498"
"5092",BR359     ,Twr Pen-cyrn round cairns                                                                                                                             ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4286,"-3.15778473832839","51.823221618172"
"5093",BR357     ,Twyn Disgwylfa platform cairn                                                                                                                         ,Prehistoric,Platform Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4287,"-3.21750466229258","51.8516841167496"
"5094",BR362     ,Pontsticill platform cairn                                                                                                                            ,Prehistoric,Platform Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4288,"-3.35497937167985","51.8001526597696"
"5095",BR361     ,Mynydd Llangattock round cairn                                                                                                                        ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4289,"-3.16997841866961","51.8316673375522"
"5096",BR367     ,Llethyr Waun-lwyd ring cairn                                                                                                                          ,Prehistoric,Ring Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4290,"-3.49718606957623","52.2294039977681"
"5097",BR363     ,Esgair Garn ring cairn                                                                                                                                ,Prehistoric,Ring Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4291,"-3.70974628191999","52.1344269921472"
"5098",BR368     ,Esgair Irfon round cairn                                                                                                                              ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4292,"-3.68846302140832","52.1779033207491"
"5099",BR371     ,Pen Twr ring cairn                                                                                                                                    ,Prehistoric,Ring Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4293,"-3.61513655459213","52.1564200094965"
"5100",BR366     ,Garth cairn cemetery                                                                                                                                  ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4294,"-3.48929832845516","52.232348769526"
"5101",BR365     ,Waun Coli round cairn                                                                                                                                 ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4295,"-3.68434078106968","52.105674675825"
"5102",BR369,Drygarn Fach round cairn,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4296,"-3.67453612914939","52.1965253680917"
"5103",BR370     ,Castell Llygoden platform cairn                                                                                                                       ,Prehistoric,Platform Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4297,"-3.7397195459856","52.1974253730683"
"5104",BR378     ,Hafen standing stone pair                                                                                                                             ,Prehistoric,Standing Stone,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4298,"-3.52108060905182","52.2246612609715"
"5105",BR372     ,Clo Cadno platform cairn                                                                                                                              ,Prehistoric,Platform Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4299,"-3.2889975672134","51.8386326594285"
"5106",BR379     ,Carn Pantmaenllwyd cairn                                                                                                                              ,Prehistoric,Ring Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4300,"-3.52845911895252","52.218846554395"
"5107",BR377     ,Ty'n y Pant round cairns                                                                                                                              ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4301,"-3.56768913536846","52.2566728530505"
