fid,SAMNumber,Name,Period,SiteType,Report,lon,lat
"1",CN395     ,Nant y Gledrydd Standing Stone                                                                                                                        ,Prehistoric,Standing Stone,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=1,"-4.5388858222715","52.8987584624998"
"2",ME249     ,Medieval Ecclesiastical Structure SE of Ty'n y Coed Cottage                                                                                           ,Medieval,Chapel,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=2,"-4.0882050228561","52.8265188364301"
"3",PE515     ,Parc Castell Round Barrow                                                                                                                             ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=3,"-4.87903544136799","51.9083988422739"
"4",PE516     ,Mynydd Castlebythe Round Barrows                                                                                                                      ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4,"-4.86907551438786","51.9302972038332"
"5",PE524     ,Round Barrow 100m E of Thornbush                                                                                                                      ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=5,"-5.0258109744909","51.8546768798547"
"6",ME253     ,Carnedd y Filiast Cairn                                                                                                                               ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=6,"-3.68283934746922","52.9867994102768"
"7",CD210     ,Round Cairns c. 400m SE of Lan Fawr                                                                                                                   ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=7,"-3.90952562763199","52.1310801356539"
"8",BR353     ,Banwen Gwys Round Cairns                                                                                                                              ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=8,"-3.74640137752024","51.8508630874118"
"9",CD212     ,Blaenannerch Round Barrow                                                                                                                             ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=9,"-4.55765653631367","52.111432959919"
"10",PE502     ,"Gellifawr, Standing Stone 70m SW of                                                                                                                   ",Prehistoric,Standing Stone,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=10,"-4.82364021363165","51.9745756232504"
"11",RD157     ,Medieval Settlement on Penybont Common                                                                                                                ,Medieval,Deserted Rural Settlement,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=11,"-3.28087041254898","52.2690707365839"
"12",RD158     ,Pant y Rhiw Medieval Settlement                                                                                                                       ,Medieval,Deserted Rural Settlement,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=12,"-3.34665793526544","52.2069444723195"
"13",RD159     ,Bank House Medieval Settlement                                                                                                                        ,Medieval,Deserted Rural Settlement,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=13,"-3.34200270491494","52.2352968801445"
"14",AN129,Llys Rhosyr,Medieval,Manor,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=14,"-4.36618368410189","53.1620076801872"
"15",GM625,"St. Illtud's Church, Early Medieval Cross, Cross Shafts and Pillar",Early Medieval,Pillar,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=21,"-3.48823615507161","51.4079615213703"
"16",RD192     ,Bronze Age tumulus north of Beili Haulwen                                                                                                             ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=111,"-3.47635109402414","52.3599446466818"
"17",MG294     ,Esgair Draenllwyn Round Cairn I                                                                                                                       ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=112,"-3.58426072567447","52.5370740988932"
"18",MG286     ,Trelystan Church House Round Barrows                                                                                                                  ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=113,"-3.09356704784895","52.6369650659794"
"19",DE277     ,Ysgwennant Barrow                                                                                                                                     ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=114,"-3.2051988966537","52.8662767619399"
"20",CM352     ,Troedrhiwhir Mountain ring cairn                                                                                                                      ,Prehistoric,Ring Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=115,"-3.82799575188947","52.1140033656525"
"21",CD161,Castell Olwen,Prehistoric,Hillfort,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=116,"-4.07533020069788","52.1231711393268"
"22",MG275     ,Carreg Hir Standing Stone                                                                                                                             ,Prehistoric,Standing Stone,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=128,"-3.45567546161551","52.5605596185439"
"23",BR287     ,Cerrig Llwydion Deserted Rural Settlement                                                                                                             ,Post Medieval/Modern,Deserted Rural Settlement,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=129,"-3.6400844387558","52.2474446196333"
"24",MG263     ,Cwm Rhiwiau Stone Circle                                                                                                                              ,Prehistoric,Stone Circle,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=130,"-3.39883097875933","52.8642422296686"
"25",DE253     ,Tyddyn Tudur Enclosure                                                                                                                                ,Prehistoric,Enclosure - Domestic,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=131,"-3.529103003712","53.0337906709558"
"26",DE252     ,Mynydd Rhyd Ddu Enclosure                                                                                                                             ,Prehistoric,Hillfort,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=132,"-3.41042062551359","53.0187179780484"
"27",CN309,Long Hut North of Cwm Farm,Medieval,Rectangular hut,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=133,"-4.33273033167861","52.9887380806468"
"28",CN310,Enclosed Hut Group North West of Cwm Farm,Prehistoric,Enclosed hut circle,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=134,"-4.33376100591356","52.9876679683201"
"29",GM151     ,Standing Stone on Ty'r Coed Farm                                                                                                                      ,Prehistoric,Standing Stone,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=135,"-4.20252878513075","51.6032595333792"
"30",GM223     ,St Madoc's Church cross-incised stones                                                                                                                ,Early Medieval,Cross,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=136,"-4.25639596029151","51.6180232520633"
"31",GM010     ,Weobley Castle,Medieval,Castle,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=137,"-4.19930313474498","51.6127728362536"
"32",GM027     ,Sweyne's Howe chambered cairns                                                                                                                        ,Prehistoric,Chambered Tomb,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=138,"-4.28027161799379","51.5852791031507"
"33",GM376     ,Llanelen Chapel Site                                                                                                                                  ,Medieval,Chapel,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=139,"-4.15176629521649","51.6193688901631"
"34",FL134     ,Round Barrow 450m E of Penbedw Hall                                                                                                                   ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=140,"-3.2440516780829","53.2043418105415"
"35",GM396,"Canal Aqueduct over the River Twrch, Ystalyfera",Post Medieval/Modern,Aqueduct,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=141,"-3.7799054774216","51.7683425176115"
"36",GM046     ,Loughor Castle,Medieval,Castle,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=142,"-4.07714033783332","51.6622171259826"
"37",GM423     ,Remains of Venallt Ironworks                                                                                                                          ,Post Medieval/Modern,Ironworks,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=143,"-3.64593720585946","51.7319383392433"
"38",GM410     ,Remains of Astronomical Observatory at Penllergaer                                                                                                    ,Post Medieval/Modern,Observatory,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=144,"-3.99334065508174","51.6736982382996"
"39",CD033     ,Pen y Ffrwd-Llwyd Camp                                                                                                                                ,Prehistoric,Hillfort,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=145,"-3.89429607969025","52.3019593167622"
"40",GM199,Garn Goch Round Barrow,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=146,"-4.01759072959202","51.6640809437201"
"41",GM342,Standing Stones 300m W of Cefncelfi,Prehistoric,Standing Stone,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=147,"-3.8225726304479","51.7123769442717"
"42",DE118     ,Ffrith-Uchaf Round Cairn                                                                                                                              ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=148,"-3.70326594174094","53.1247981951796"
"43",PE047,Mesur-y-Dorth Cross-Incised Stone,Early Medieval,Cross-marked stone,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=149,"-5.14561656476448","51.9323668037383"
"44",PE172     ,Castell Mawr                                                                                                                                          ,Prehistoric,Hillfort,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=150,"-4.74240126459391","52.0063949583868"
"45",PE171     ,Castell Eglwyswrw                                                                                                                                     ,Medieval,Motte and Bailey,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=151,"-4.71324713529374","52.012713168612"
"46",PE160,Castell Nanhyfer,Medieval,Motte and Bailey,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=152,"-4.79701122660671","52.0266667327854"
"47",PE295     ,Castell Heinif                                                                                                                                        ,Prehistoric,Promontory Fort - coastal,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=153,"-5.30815183162264","51.8741566499699"
"48",PE372     ,Penparke Standing Stone                                                                                                                               ,Prehistoric,Standing Stone,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=154,"-4.78233860894824","51.9845289928842"
"49",MG029     ,Bryngwyn Wood Camp                                                                                                                                    ,Prehistoric,Hillfort,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=155,"-3.21092975045605","52.7518324505931"
"50",MG141     ,Black Bank Camp                                                                                                                                       ,Prehistoric,Enclosure,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=156,"-3.0900601372383","52.6610779160925"
"51",MG132     ,Y Golfa Camp                                                                                                                                          ,Prehistoric,Enclosure,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=157,"-3.2162058751657","52.6534506965952"
"52",MG131     ,Tan y Clawdd Camp                                                                                                                                     ,Prehistoric,Hillfort,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=158,"-3.20011675639704","52.6626857826947"
"53",MG216,"Roman Supply Depot, Llansantffraid ym Mechain",Roman,Enclosure,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=159,"-3.14560673220132","52.7777755367676"
"54",MG214     ,Carreghofa Castle                                                                                                                                     ,Medieval,Ringwork,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=160,"-3.10675378277996","52.7921344346005"
"55",MG213     ,Knaps Barrows                                                                                                                                         ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=161,"-3.0465949984146","52.6770259174478"
"56",MG212,Powis Castle Park Mound,Post Medieval/Modern,Earthwork (unclassified),http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=162,"-3.18109693395111","52.6437649682184"
"57",GM075     ,Llancarfan Monastery (Site of)                                                                                                                        ,Early Medieval,Monastery,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=163,"-3.3653555547772","51.4214599291113"
"58",RD152,New Radnor: Interior of Medieval Town,Medieval,House Platform,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=165,"-3.15747324045571","52.2402193172489"
"59",AN130,Felin Wen Tide Mill,Post Medieval/Modern,Tide Mill,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=166,"-4.55625609292575","53.2643598826223"
"60",BR229     ,Dinas Silica Mine                                                                                                                                     ,Post Medieval/Modern,Tramroad,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=167,"-3.57045757765155","51.7604137874252"
"61",GM210,Medieval Cross in Churchyard,Medieval,Cross,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=168,"-3.5029025206029","51.48961700515"
"62",GM211,Llangan Celtic Cross,Early Medieval,Cross,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=169,"-3.50306015112812","51.489745463403"
"63",GM224,Cross in St Mary's Churchyard,Medieval,Cross,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=170,"-3.50283745024454","51.5030312057427"
"64",GM337,"Llandough Castle, Remains of Hall",Medieval,Castle,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=171,"-3.44758507446357","51.4469740425154"
"65",GM377,Ringwork & Bailey at Gelligarn,Medieval,Ringwork and bailey,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=172,"-3.49880043229146","51.4975468230458"
"66",GM084     ,Mynydd y Gaer                                                                                                                                         ,Prehistoric,Hillfort,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=173,"-3.48209133352707","51.5543811900814"
"67",BR077     ,Castle Mound near Swan Hotel                                                                                                                          ,Medieval,Motte,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=174,"-3.12992173457757","52.0726560033941"
"68",BR117     ,Tretower Court                                                                                                                                        ,Medieval,House (domestic),http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=175,"-3.18456836050736","51.8833159653433"
"69",BR131     ,Fforest Castle Mound                                                                                                                                  ,Medieval,Motte,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=176,"-3.58091624301003","52.155886258919"
"70",GM001,Old Beaupre Castle,Medieval,House (domestic),http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=177,"-3.42858430685555","51.4392234681904"
"71",CN168,Cae Metta Hut Group,Prehistoric,Enclosed hut circle,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=178,"-4.19114151941836","53.1617277350109"
"72",PE480     ,Enclosure 200m SE of Solva Village                                                                                                                    ,Prehistoric,Enclosure,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=179,"-5.18502830586075","51.8744291160924"
"73",PE481     ,Enclosure in Tycanol Wood                                                                                                                             ,Prehistoric,Promontory Fort - coastal,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=180,"-4.78230430241461","51.9963665475593"
"74",CN061     ,Bont-Newydd                                                                                                                                           ,Post Medieval,Bridge,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=181,"-4.00493508231342","53.2282287809274"
"75",CN073,Pier Camp,Unknown,Earthwork (unclassified),http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=182,"-4.12774470999537","53.233888756787"
"76",CN200,Cefn Mawr Hut Group,Prehistoric,Hut Circle Settlement,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=183,"-4.19537941172406","53.1640502658673"
"77",CN198     ,"Vivian Slate Quarry, Inclines, Walia & associated structures                                                                                          ",Post Medieval/Modern,Quarry,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=184,"-4.11404504453059","53.1243895381819"
"78",AN095,Hut Group N of Glan'r Afon,Prehistoric,Unenclosed hut circle,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=185,"-4.25352188799143","53.3448243712511"
"79",CN123,Hut Group W of Foel Dduarth,Prehistoric,Enclosed hut circle,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=186,"-3.98290835173627","53.2250186676299"
"80",GM378     ,Middleton Moated Site                                                                                                                                 ,Medieval,Moated Site,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=187,"-3.22295349109186","51.4102279918494"
"81",GM251     ,Walterston ringwork                                                                                                                                   ,Medieval,Enclosure,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=188,"-3.3417164946773","51.432184786874"
"82",GM282,"Medieval House Site, Llantrithyd",Medieval,Enclosure - Domestic,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=189,"-3.37496434771519","51.4453433338724"
"83",GM293     ,Llanvithyn Camp                                                                                                                                       ,Prehistoric,Hillfort,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=190,"-3.36148317489848","51.4373634418296"
"84",GM257,Llantrithyd Camp,Prehistoric,Enclosure,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=191,"-3.38491039041233","51.4494345375677"
"85",BR227     ,Two Cairns on Traeth Mawr                                                                                                                             ,Prehistoric,Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=192,"-3.50534871918285","51.9204272186923"
"86",DE010     ,Moel-y-Gaer Camp                                                                                                                                      ,Prehistoric,Hillfort,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=193,"-3.27422578087016","53.1460719193492"
"87",FL004     ,Castell Rhuddlan,Medieval,Castle,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=194,"-3.46503374132227","53.2891584263457"
"88",CN240     ,"Huts and Enclosures, Cwm Llefrith                                                                                                                     ",Prehistoric,Hut Circle Settlement,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=195,"-4.16216742183799","52.9992368067493"
"89",CD160     ,Burnt Mound 230m NE of Ffos                                                                                                                           ,Prehistoric,Burnt Mound,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=196,"-3.92316594434554","52.2870454444239"
"90",CN234,"Hut Circle, Bryniau Poethion, Great Orme",Prehistoric,Unenclosed hut circle,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=197,"-3.84961370089619","53.3327728913792"
"91",FL079     ,Wat's Dyke: Section SE of Meadow Mills                                                                                                                ,Early Medieval,Linear Earthwork,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=198,"-3.21486079672742","53.2811808118581"
"92",FL029     ,Holywell Castle Mound                                                                                                                                 ,Medieval,Motte,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=199,"-3.2224971632932","53.2773652003701"
"93",FL180     ,Kelsterton Brewery                                                                                                                                    ,Post Medieval/Modern,Industrial building,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=200,"-3.08364461152278","53.2274046865301"
"94",DE120,Mynydd Bach Camp,Prehistoric,Hillfort,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=201,"-3.26226520753539","52.8972112479031"
"95",CN130     ,Cerrig Pryfaid Stone Circle                                                                                                                           ,Prehistoric,Stone Circle,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=202,"-3.9119225483741","53.2237090478509"
"96",CN072     ,Gwern y Plas Ancient Village                                                                                                                          ,Prehistoric,Unenclosed hut circle settlement,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=203,"-3.96986494519718","53.2541930609688"
"97",DE046,Mwdwl Eithin Round Barrows,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=204,"-3.75449819759858","53.1977179567475"
"98",CN147     ,"Site of Medieval King's Hall and Wardrobe, Rosehill Street                                                                                            ",Medieval,Building (Unclassified),http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=205,"-3.82760098777101","53.2800375655629"
"99",CN127     ,Hut Groups N of Cerrig y Dinas                                                                                                                        ,Prehistoric,Enclosed hut circle,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=206,"-3.86970613128522","53.2496376993946"
"100",DE025,Llanrwst Bridge,Post Medieval/Modern,Bridge,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=207,"-3.79757580316455","53.1370105350724"
"101",DE125     ,Hendre-Waelod Burial Chamber                                                                                                                          ,Prehistoric,Chambered Long Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=208,"-3.81106134110681","53.2560047750735"
"102",CN182     ,"Six Inscribed Stones in St Tudclud's Church, Penmachno                                                                                                ",Early Medieval,Inscribed Stone,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=209,"-3.80620960441849","53.0388681727313"
"103",CN190     ,Ogof Pant-y-Wennol                                                                                                                                    ,Prehistoric,Cave,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=210,"-3.7906116013495","53.3180368199852"
"104",CN191     ,Kendricks Cave & Upper Kendricks Cave                                                                                                                 ,Prehistoric,Cave,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=211,"-3.83358035938701","53.3282888453491"
"105",CN033     ,Pont Rhyd-Llanfair                                                                                                                                    ,Post Medieval/Modern,Bridge,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=212,"-3.75033570784521","53.0563238455251"
"106",CN039,Pen y Dinas Camp,Iron Age,Hillfort,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=213,"-3.83490282827388","53.3296709945057"
"107",CN041,Caer Oleu Camp,Prehistoric,Hillfort,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=214,"-3.80747758443791","53.1824475798676"
"108",CM077     ,Talley Mound and Bailey Castle                                                                                                                        ,Medieval,Motte and Bailey,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=215,"-3.99412822676032","51.9818768463172"
"109",ME053,Castell y Gaer,Prehistoric,Hillfort,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=216,"-4.08320820083989","52.6606341793177"
"110",CN099     ,Fedw Deg Medieval House,Post Medieval/Modern,House (domestic),http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=217,"-3.80857039977899","53.063004983441"
"111",BR016     ,Gwernvale chambered cairn                                                                                                                             ,Prehistoric,Chambered long barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=218,"-3.14709053016468","51.8659932904808"
"112",MM008     ,Monnow Bridge                                                                                                                                         ,Medieval,Bridge,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=219,"-2.72004822934705","51.8089737935214"
"113",GM247     ,St Rogue's Chapel                                                                                                                                     ,Medieval,Chapel,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=220,"-3.60206932515575","51.490750345078"
"114",GM427,Cooking Mound East of Taff Terrace,Prehistoric,Burnt Mound,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=221,"-3.24886236144075","51.5125979411346"
"115",GM013,Llandaff Cathedral Bell Tower,Medieval,Bell Tower,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=222,"-3.2186353606901","51.4953299627605"
"116",GM205,Ely Roman Villa,Roman,Villa,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=223,"-3.22958118980509","51.4776968373559"
"117",GM173,Dominican Friary,Medieval,Friary,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=224,"-3.18534659291181","51.4831859577289"
"118",GM073,"Old Bishop's Palace, Llandaff",Medieval,Bishops Palace,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=225,"-3.21727949181339","51.4945558930959"
"119",GM035     ,"Sully Island, ""Danish"" Fort                                                                                                                           ",Prehistoric,Hillfort,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=226,"-3.19642443972163","51.3956667363217"
"120",MM198     ,Medieval Moated Site 400m N of Undy Church                                                                                                            ,Medieval,Moated Site,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=227,"-2.81014199681813","51.5824578111784"
"121",PE211     ,Caerau                                                                                                                                                ,Prehistoric,Enclosure,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=228,"-4.7386551042036","52.0756477922013"
"122",PE013,St Non's Chapel,Early Medieval,Chapel,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=229,"-5.26884898981686","51.8722110011983"
"123",PE108,Parc y Castell Mound and Bailey Castle,Medieval,Ringwork and bailey,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=230,"-5.27854797306733","51.8796215760551"
"124",PE081,Castell Hendre-Wen,Prehistoric,Enclosure,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=231,"-5.02782640468058","51.9628174511408"
"125",PE080     ,Castell Poeth                                                                                                                                         ,Prehistoric,Enclosure,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=232,"-5.06480541679045","51.9979772417273"
"126",PE259     ,Ffynnon- Druidion Standing Stone                                                                                                                      ,Prehistoric,Standing Stone,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=233,"-5.02876829934839","51.9876769742653"
"127",PE032     ,Garn Gilfach Burial Chamber                                                                                                                           ,Prehistoric,Chambered Tomb,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=234,"-5.04834591995488","52.009834870396"
"128",CM283,Cae Sara Lead Mine,Post Medieval/Modern,Lead Mine,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=235,"-3.8143170692517","51.9328270571883"
"129",CM284     ,Group of Burnt Mounds 300m SSW of Cilcoll Farm                                                                                                        ,Prehistoric,Burnt Mound,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=236,"-3.99616708292473","51.821948047248"
"130",FL185     ,Bretton Hall Moated Site                                                                                                                              ,Medieval,Moated Site,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=237,"-2.9498837905794","53.1668727728853"
"131",GM239     ,Gwersyll                                                                                                                                              ,Prehistoric,Enclosure,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=238,"-3.41018391441078","51.7265514758864"
"132",AN031,Roman Wall Surrounding St Cybi's Churchyard,Roman,Fort,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=239,"-4.63234514537585","53.3114628103461"
"133",CM225     ,Stone Circle 200m SW of Cerrig Cynant                                                                                                                 ,Prehistoric,Stone Circle,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=240,"-3.75093900079487","52.0826155618357"
"134",CD001,Strata Florida Abbey,Medieval,Abbey,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=241,"-3.83818499225275","52.2751637034409"
"135",MG229     ,Allt Dolanog Hillfort                                                                                                                                 ,Prehistoric,Hillfort,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=242,"-3.38653489817614","52.7095921627141"
"136",RD003     ,Crug Eryr Mound and Bailey Castle                                                                                                                     ,Medieval,Motte and Bailey,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=243,"-3.23479030263056","52.2254459578962"
